"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.898958395E-3,-1.697170715E0,1.771865387E0,9.425898743E0,9.739992941E0
1.287795836E-2,-1.697021027E0,1.822759552E0,9.347761230E0,9.673829271E0
2.285595832E-2,-1.786684570E0,1.934577026E0,9.215137024E0,9.584027358E0
3.283495840E-2,-1.840722198E0,2.044149170E0,9.157806244E0,9.562019621E0
4.281295836E-2,-1.853745117E0,2.023941193E0,9.263486481E0,9.661515962E0
5.279095832E-2,-1.864373016E0,1.895957336E0,9.400751038E0,9.769578345E0
6.276995840E-2,-1.938468933E0,1.705553284E0,9.550439758E0,9.893304472E0
7.274795836E-2,-2.141746216E0,1.769620056E0,9.416168976E0,9.817477791E0
8.272695832E-2,-2.090852051E0,1.863474884E0,9.481133881E0,9.886157019E0
9.270495840E-2,-2.293979645E0,2.064207458E0,8.571026459E0,9.109653649E0
1.026839584E-1,-2.214944000E0,2.204465790E0,7.909701691E0,8.504647387E0
1.126619583E-1,-2.226769409E0,2.941233673E0,7.729626160E0,8.564839642E0
1.226409584E-1,-2.031874695E0,3.251688080E0,6.838828583E0,7.840380509E0
1.326189584E-1,-2.067051544E0,3.044219513E0,5.730533295E0,6.810211918E0
1.425979583E-1,-2.146536255E0,2.268233185E0,5.458399200E0,6.288610459E0
1.525759584E-1,-2.320923615E0,1.790875854E0,5.616320801E0,6.335375450E0
1.625539584E-1,-2.673141174E0,1.778302002E0,5.865702209E0,6.686890470E0
1.725329583E-1,-2.884351959E0,1.683099976E0,6.374943237E0,7.196680695E0
1.825109584E-1,-3.256328430E0,1.229692841E0,6.617888031E0,7.477450188E0
1.924899584E-1,-3.741170197E0,6.448590088E-1,6.866371307E0,7.845970463E0
2.024679583E-1,-4.331841888E0,2.915936279E-1,6.454128571E0,7.778538204E0
2.124469584E-1,-5.399571533E0,4.334985352E-1,4.336332550E0,6.938809243E0
2.224249584E-1,-5.210514679E0,8.253836060E-1,1.363364868E0,5.448805840E0
2.324039583E-1,-4.151766357E0,1.297651520E0,-1.152453461E0,4.499912481E0
2.423819584E-1,-2.851570129E0,1.150507507E0,-2.545756073E0,3.991991196E0
2.523599584E-1,-2.173629913E0,3.052153015E-1,-2.661315765E0,3.449699260E0
2.623389583E-1,-2.305805054E0,-1.459914093E0,-1.813329163E0,3.276621546E0
2.723169584E-1,-2.535277863E0,-3.388204193E0,-1.069525909E0,4.364796349E0
2.822959584E-1,-2.908751221E0,-4.637655945E0,-6.345304871E-1,5.511017625E0
2.922739583E-1,-3.098406830E0,-5.587580566E0,-2.637515259E-1,6.394587269E0
3.022529584E-1,-3.276087341E0,-6.054759064E0,-3.097059631E-1,6.891209863E0
3.122273750E-1,-4.045786743E0,-6.086942139E0,-2.164498901E-1,7.312052074E0
3.222053751E-1,-5.831722870E0,-6.569388885E0,3.526666260E-1,8.791486547E0
3.321843750E-1,-8.285121002E0,-7.578889618E0,7.785310364E-1,1.125561675E1
3.421623750E-1,-1.026595184E1,-8.403524780E0,1.285826111E0,1.332900389E1
3.521413751E-1,-1.167332520E1,-8.758736115E0,2.006577301E0,1.473120266E1
3.621193750E-1,-1.286050644E1,-8.262218628E0,2.345322876E0,1.546471538E1
3.720983750E-1,-1.399305130E1,-7.558382263E0,2.907254333E0,1.616745975E1
3.820763751E-1,-1.462982712E1,-6.996450806E0,3.820355530E0,1.666065070E1
3.920553750E-1,-1.521121811E1,-7.143744507E0,4.992867279E0,1.753119978E1
4.020333750E-1,-1.585966965E1,-8.221802673E0,5.454956360E0,1.867842899E1
4.120123751E-1,-1.649734360E1,-9.289382629E0,4.918771362E0,1.956142344E1
4.219903750E-1,-1.716106339E1,-9.716594238E0,4.304299164E0,2.018517504E1
4.319683750E-1,-1.734697678E1,-9.481582947E0,4.406386871E0,2.025424064E1
4.419473751E-1,-1.808823532E1,-9.419462128E0,5.525160370E0,2.112907762E1
4.519253750E-1,-2.035467224E1,-1.067520081E1,7.546107788E0,2.419124505E1
4.619043750E-1,-2.272738815E1,-1.216086136E1,9.521998901E0,2.747888616E1
4.718823751E-1,-2.377520920E1,-1.251218079E1,1.039213943E1,2.880645418E1
4.818613750E-1,-2.298096085E1,-1.105600891E1,9.933493195E0,2.736848884E1
4.918393750E-1,-2.202415054E1,-9.104367371E0,8.077203369E0,2.516334490E1
5.018183751E-1,-2.163795364E1,-7.818092194E0,5.515879669E0,2.365900530E1
5.117963750E-1,-2.125684616E1,-7.187154236E0,3.331472168E0,2.268495981E1
5.217743750E-1,-2.129561554E1,-6.199058990E0,1.721569977E0,2.224624410E1
5.317533751E-1,-2.121134079E1,-5.176685028E0,5.390290833E-1,2.184054941E1
5.417313750E-1,-2.085642883E1,-5.210215302E0,3.815565491E-1,2.150075702E1
5.517103750E-1,-2.019225998E1,-6.086792450E0,3.912863159E-1,2.109335228E1
5.616883751E-1,-1.832369568E1,-5.163961487E0,1.624122620E-1,1.903813802E1
5.716673750E-1,-1.723770401E1,-3.760629730E0,2.462379456E-1,1.764486919E1
5.816453750E-1,-1.701736221E1,-2.030826874E0,4.376898193E-1,1.714369992E1
5.916243751E-1,-1.696332458E1,3.695814514E-1,4.351451111E-1,1.697292911E1
6.016023750E-1,-1.679537384E1,2.467319183E0,-1.112785950E0,1.701207039E1
6.115803750E-1,-1.696422272E1,4.252656555E0,-2.173180847E0,1.762363910E1
6.215593751E-1,-1.616518433E1,4.738246765E0,-2.897524567E0,1.709268309E1
6.315373750E-1,-1.296873138E1,4.205803986E0,-2.934347992E0,1.394586602E1
6.415163750E-1,-9.460626526E0,2.548450470E0,-4.176614685E0,1.065092317E1
6.514943751E-1,-6.697971497E0,-9.728269958E-1,-5.875132599E0,8.962499517E0
6.614733750E-1,-4.083807678E0,-2.716251526E0,-6.339467010E0,8.015257294E0
6.714513750E-1,-1.810036011E0,-3.466341705E0,-5.839506683E0,7.027915301E0
6.814303751E-1,-1.754351807E0,-4.201013947E0,-4.358935547E0,6.302903104E0
6.914083750E-1,-3.092269592E0,-3.273842010E0,-3.184328156E0,5.515443640E0
7.013863750E-1,-3.826792145E0,-4.466711426E0,-1.829645233E0,6.159825546E0
7.113653751E-1,-6.206693115E0,-2.750979309E0,-1.128652954E-1,6.789967979E0
7.213433750E-1,-6.910379791E0,-3.759581909E0,5.098397827E-1,7.883383892E0
7.313223750E-1,-8.585695953E0,-5.339696045E0,7.967930603E-1,1.014206133E1
7.413003751E-1,-9.187594299E0,-8.099057922E0,1.499731293E0,1.233919860E1
7.512793751E-1,-1.033376083E1,-8.279432831E0,2.702480164E0,1.351440047E1
7.612573750E-1,-9.711654510E0,-1.003872437E1,4.207450562E0,1.458748986E1
7.712363750E-1,-9.370513916E0,-1.086171295E1,5.462141418E0,1.534986411E1
7.812143750E-1,-8.419990540E0,-1.136197266E1,6.040388947E0,1.537780745E1
7.911933750E-1,-7.259603577E0,-1.187989563E1,6.109545135E0,1.520395692E1
8.011713750E-1,-6.328689423E0,-1.086530548E1,5.102888489E0,1.357006426E1
8.111493750E-1,-7.606731720E0,-7.245832214E0,3.604953461E0,1.110676107E1
8.211283750E-1,-7.987839203E0,-6.155349884E0,2.569706268E0,1.040659875E1
8.311063751E-1,-7.962691498E0,-6.223757629E0,2.185605011E0,1.034004276E1
8.410853751E-1,-7.725584564E0,-5.938151550E0,1.420096893E0,9.846978007E0
8.510633750E-1,-7.660769348E0,-5.968987427E0,5.626799011E-1,9.727939483E0
