"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.677866790174278E9,"2023-03-03 13:06:30.174 UTC-05:00"
"PAUSE",1.763896845839918E1,1.677866807813102E9,"2023-03-03 13:06:47.813 UTC-05:00"
"START",1.763896845839918E1,1.677866819194157E9,"2023-03-03 13:06:59.194 UTC-05:00"
"PAUSE",3.610431529174093E1,1.677866837659354E9,"2023-03-03 13:07:17.659 UTC-05:00"
"START",3.610431529174093E1,1.677866880533118E9,"2023-03-03 13:08:00.533 UTC-05:00"
"PAUSE",4.860272399999667E1,1.677866893031422E9,"2023-03-03 13:08:13.031 UTC-05:00"
"START",4.860272399999667E1,1.677866917088544E9,"2023-03-03 13:08:37.089 UTC-05:00"
"PAUSE",7.489214458339848E1,1.677866943377751E9,"2023-03-03 13:09:03.378 UTC-05:00"
"START",7.489214458339848E1,1.677867019251662E9,"2023-03-03 13:10:19.252 UTC-05:00"
"PAUSE",1.051573860417120E2,1.677867049516658E9,"2023-03-03 13:10:49.517 UTC-05:00"
"START",1.051573860417120E2,1.677867186902519E9,"2023-03-03 13:13:06.903 UTC-05:00"
"PAUSE",1.583756902500754E2,1.677867240120391E9,"2023-03-03 13:14:00.120 UTC-05:00"
"START",1.583756902500754E2,1.677867305672131E9,"2023-03-03 13:15:05.672 UTC-05:00"
"PAUSE",2.047999891249929E2,1.677867352096054E9,"2023-03-03 13:15:52.096 UTC-05:00"
"START",2.047999891249929E2,1.677867455601678E9,"2023-03-03 13:17:35.602 UTC-05:00"
"PAUSE",2.108048500416335E2,1.677867461606489E9,"2023-03-03 13:17:41.606 UTC-05:00"
"START",2.108048500416335E2,1.677867466733635E9,"2023-03-03 13:17:46.734 UTC-05:00"
"PAUSE",2.403527172916802E2,1.677867496281264E9,"2023-03-03 13:18:16.281 UTC-05:00"
"START",2.403527172916802E2,1.677867506682603E9,"2023-03-03 13:18:26.683 UTC-05:00"
"PAUSE",2.819979936666787E2,1.677867548329679E9,"2023-03-03 13:19:08.330 UTC-05:00"
"START",2.819979936666787E2,1.677867569365130E9,"2023-03-03 13:19:29.365 UTC-05:00"
"PAUSE",3.025376832917100E2,1.677867589907215E9,"2023-03-03 13:19:49.907 UTC-05:00"
