"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.665191667E-2,-3.583438338E-1,-7.991988972E-1,2.004992706E0,2.187949938E0
5.659591669E-2,2.446811244E-2,-7.622348464E-1,2.009529560E0,2.149374258E0
6.654091668E-2,2.816535075E-1,-6.615031081E-1,1.700731085E0,1.846456413E0
7.648491667E-2,5.218743758E-1,-5.225323337E-1,1.391860104E0,1.575648265E0
8.642891666E-2,6.422441339E-1,-2.717069551E-1,1.205836785E0,1.392962509E0
9.637391669E-2,6.755757482E-1,-4.039519697E-2,9.196038848E-1,1.141799312E0
1.063179167E-1,7.165762782E-1,1.769656894E-1,7.692784023E-1,1.066108661E0
1.162629167E-1,7.728048581E-1,2.828464857E-1,5.341320401E-1,9.810843590E-1
1.262069167E-1,8.727092153E-1,9.294763237E-2,3.775512064E-1,9.554085776E-1
1.361519167E-1,9.363622972E-1,-1.765932217E-1,2.663166994E-1,9.893857195E-1
1.460959167E-1,8.314565241E-1,-2.875333214E-1,9.935588837E-2,8.853626121E-1
1.560399167E-1,7.116881521E-1,-2.840109587E-1,-1.629624850E-1,7.834022096E-1
1.659849167E-1,5.051158172E-1,-1.786941263E-1,-3.888912964E-1,6.620498621E-1
1.759289167E-1,3.984550023E-1,-2.456707656E-1,-7.178386921E-1,8.569789389E-1
1.858729167E-1,3.726790139E-1,-2.365643120E-1,-8.758953631E-1,9.808389308E-1
1.958179167E-1,2.615947804E-1,-1.712474048E-2,-7.352955544E-1,7.806309232E-1
2.057619167E-1,1.918240491E-1,1.458120167E-1,-7.533043939E-1,7.909014603E-1
2.157069167E-1,2.134656174E-1,2.170620936E-1,-6.178723544E-1,6.888031421E-1
2.256509167E-1,2.580161382E-1,2.537051323E-1,-2.885565841E-1,4.628212657E-1
2.355949167E-1,2.384502583E-1,3.289535353E-1,1.385164458E-1,4.292502298E-1
2.455399167E-1,2.896787379E-1,3.930770257E-1,3.391642356E-1,5.945214025E-1
2.554839167E-1,4.893642222E-1,2.383678856E-1,2.438926274E-1,5.964731382E-1
2.654289167E-1,6.519315085E-1,2.131222397E-2,7.362229228E-2,6.564214687E-1
2.753729167E-1,7.817260281E-1,-4.985248357E-2,2.931542498E-1,8.363732823E-1
2.853169167E-1,7.471924455E-1,-8.549506366E-2,-4.609319168E-1,8.820794684E-1
2.952619167E-1,6.240911606E-1,-3.796597123E-2,-1.165251262E0,1.322399975E0
3.052059167E-1,3.857148696E-1,4.814363480E-2,-5.292273957E-1,6.566394798E-1
3.151499167E-1,3.214157434E-1,1.877786529E-1,-1.748136216E-1,4.112526047E-1
3.250949167E-1,2.201549783E-2,1.401466495E-1,-7.088228703E-2,1.585877174E-1
3.350389167E-1,-9.295333341E-2,1.769860084E-1,-3.098036116E-1,3.687040102E-1
3.449839167E-1,-1.677023841E-1,5.771201849E-1,-6.111100495E-1,8.571156807E-1
3.549279167E-1,-2.679868834E-1,1.043530797E0,-7.557035065E-1,1.316002007E0
3.648719167E-1,-7.775650764E-1,1.557144372E0,-1.484631443E0,2.287670554E0
3.748169167E-1,-9.015903676E-1,1.293891468E0,-2.286448431E-1,1.593517739E0
3.847609167E-1,-8.650230503E-1,1.094113305E0,6.479241192E-1,1.537905870E0
3.947049167E-1,-7.883985052E-1,9.790737225E-1,1.102062741E0,1.671735578E0
4.046499167E-1,-6.370966838E-1,8.111623004E-1,1.140650271E0,1.537842483E0
4.145939167E-1,-4.801425053E-1,6.775465523E-1,8.184482235E-1,1.165960398E0
4.245389167E-1,-4.945360114E-1,3.880259085E-1,1.198278090E0,1.353144616E0
4.344829167E-1,-2.100532555E-1,-8.347485065E-3,1.940827700E0,1.952179349E0
4.444269167E-1,4.223385394E-1,-7.122338435E-1,2.511259255E0,2.644252245E0
4.543719167E-1,1.038142295E0,-1.629777608E0,2.440283412E0,3.112699409E0
4.643159167E-1,1.448880836E0,-2.342057498E0,1.334994763E0,3.060506497E0
4.742599167E-1,1.787594982E0,-2.787720289E0,1.985691047E-1,3.317575910E0
4.842049167E-1,1.950793402E0,-3.034610199E0,-6.640752983E-1,3.668167111E0
4.941489167E-1,1.768733911E0,-2.921143810E0,-1.107994156E0,3.590146495E0
5.040929167E-1,1.238672556E0,-2.619813398E0,-1.611444102E0,3.315793123E0
5.140379167E-1,6.641540165E-1,-2.182279992E0,-2.160309956E0,3.141716987E0
5.239819167E-1,3.380301681E-1,-1.760242438E0,-2.151249695E0,2.800105906E0
5.339269167E-1,3.743168190E-1,-1.272207507E0,-1.923220564E0,2.336108379E0
5.438709167E-1,1.219298867E-1,-2.176076388E-1,-1.256285393E0,1.280809498E0
5.538149167E-1,2.597541500E-2,3.453184301E-1,-7.070213431E-1,7.872729641E-1
5.637599167E-1,4.623424845E-1,1.786178201E-2,-3.895906234E-1,6.048640096E-1
5.737039167E-1,6.070506566E-1,-7.212379709E-2,-3.086628199E-2,6.120989047E-1
5.836479167E-1,4.359937248E-1,-3.006141275E-2,-5.154390764E-1,6.757748576E-1
5.935929167E-1,2.119280555E-1,-2.592045848E-1,-9.563366783E-1,1.013252367E0
6.035369167E-1,7.968790144E-2,-4.782849911E-1,-9.630948901E-1,1.078266415E0
