"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.898249990E-3,-7.429033667E-2,4.169474065E-2,-5.444284022E-1,5.510533464E-1
1.184125000E-2,-1.155798653E-1,1.666772211E-1,-1.244113244E0,1.260538680E0
2.178425001E-2,-3.743302676E-1,4.537804797E-1,-9.356615084E-1,1.105215966E0
3.172725000E-2,-3.635409853E-1,5.649576840E-1,-2.054694039E-1,7.025360550E-1
4.167025001E-2,2.845108956E-2,4.014151552E-1,3.751830840E-1,5.501871844E-1
5.161324999E-2,-5.475040376E-3,1.032083264E-1,5.906026947E-1,5.995777495E-1
6.155625000E-2,-2.806371152E-3,-5.385402560E-2,1.929247874E-1,2.003200075E-1
7.149924999E-2,2.590793082E-1,6.423020214E-2,-5.237234116E-1,5.878212472E-1
8.144225000E-2,1.460108221E-2,1.031048892E0,-4.685672110E-1,1.132620960E0
9.138624999E-2,4.753450111E-1,1.442133880E0,1.570889568E-1,1.526558203E0
1.013292500E-1,5.420877618E-1,1.285713260E0,2.068091764E0,2.494778802E0
1.112722500E-1,3.505122194E-1,1.392220877E0,8.429965889E-1,1.664866672E0
1.212152500E-1,4.322519088E-1,1.441817253E0,-1.686255133E-1,1.514633047E0
1.311582500E-1,1.049585296E0,9.543465784E-1,3.170377868E-1,1.453588540E0
1.411012500E-1,1.424591063E0,2.708541387E-1,4.707920766E-1,1.524620229E0
1.510442500E-1,1.584164063E0,-2.668037724E-1,-1.871225953E-1,1.617335741E0
1.609872500E-1,1.807639237E0,-1.409506416E-1,-8.771770728E-1,2.014166406E0
1.709302500E-1,1.843375665E0,-2.325998998E-1,-2.200682641E0,2.880128581E0
1.808732500E-1,1.854798785E0,-8.195980784E-1,-3.153768852E0,3.749436960E0
1.908172500E-1,1.630020414E0,-1.522312070E0,-2.744522814E0,3.536496297E0
2.007602500E-1,2.281443799E0,-1.927861353E0,-1.529793583E0,3.355875983E0
