"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.632499916E-4,-8.998701167E-1,5.302307779E-1,-9.175743163E-2,1.048489547E0
9.780749999E-3,-9.222784013E-1,4.102023509E-1,-1.951619321E-1,1.028081513E0
1.972474999E-2,-9.429056239E-1,3.333450866E-1,-4.054447639E-1,1.079154956E0
2.966875001E-2,-9.902306485E-1,4.598680159E-1,-3.994162846E-1,1.162569868E0
3.961275000E-2,-8.393485111E-1,5.270443377E-1,-1.886393631E-1,1.008893684E0
4.955674999E-2,-7.174288023E-1,5.359514013E-1,-1.820261621E-1,9.138279458E-1
5.950075001E-2,-7.951926774E-1,6.952397883E-1,-2.219760936E-1,1.079334584E0
6.944475000E-2,-1.058496307E0,9.424586043E-1,-4.902516103E-1,1.499663060E0
7.938874999E-2,-1.245482077E0,9.062617081E-1,-6.233640593E-1,1.661661409E0
8.933275001E-2,-1.152670392E0,7.084100568E-1,7.969053268E-2,1.355302336E0
9.927675000E-2,-9.399364078E-1,5.998164448E-1,5.824937761E-1,1.257998099E0
1.092207500E-1,4.774435768E-1,-5.004576328E-1,1.060374432E0,1.266019016E0
1.191647500E-1,-1.284238592E0,2.897406453E-1,2.699371784E0,3.003302587E0
1.291087500E-1,-2.556774859E0,9.094452247E-1,3.180224580E0,4.180671797E0
1.390527500E-1,-2.509496027E0,5.703184113E-1,2.935815058E0,3.904080360E0
1.489967500E-1,-2.203464746E0,3.219330758E-1,2.534325936E0,3.373678370E0
1.589407500E-1,-1.451408148E0,3.072086173E-1,2.397417474E0,2.819321424E0
1.688837500E-1,-1.496507138E0,4.516170099E-1,2.790899420E0,3.198845277E0
1.788287500E-1,-2.320344448E0,6.696269372E-1,2.717001724E0,3.635174956E0
1.887717500E-1,-3.159717810E0,7.062883946E-1,1.956304110E0,3.782827739E0
1.987157500E-1,-4.118305373E0,3.870169714E-1,1.569496177E0,4.424199310E0
2.086597500E-1,-4.082535616E0,-1.340225682E-1,1.719554442E0,4.431921320E0
2.186037500E-1,-3.225938696E0,-4.763352370E-1,2.067511135E0,3.861110983E0
2.285477500E-1,-2.302351250E0,-4.142734748E-1,2.317550356E0,3.292944494E0
