"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.478833246E-3,-3.046381813E-1,-1.556687266E0,-2.452509356E-1,1.605063141E0
1.845783333E-2,1.007883100E-1,-1.533329979E0,-1.070679565E0,1.872862472E0
2.843683329E-2,4.382014507E-1,-4.034657738E-1,-1.723062771E0,1.823115590E0
3.841583326E-2,5.269180378E-1,5.942776698E-1,-2.074630705E0,2.221463736E0
4.839483334E-2,7.726551694E-1,1.003020848E0,-2.084380352E0,2.438788282E0
5.837383331E-2,8.954629241E-1,7.775954819E-1,-2.416139674E0,2.691512494E0
6.835283327E-2,1.266094389E0,-1.819782150E-1,-2.228999537E0,2.569931908E0
7.833283325E-2,1.836067084E0,-1.798675163E0,-2.069711443E0,3.300012142E0
8.831183333E-2,2.047879840E0,-2.215811142E0,-2.647429798E0,4.014039784E0
9.829083330E-2,1.768738881E0,-1.111101659E0,-4.159251378E0,4.654283635E0
1.082698333E-1,1.741991085E0,-4.063981524E-1,-5.279415929E0,5.574219672E0
1.182488333E-1,1.028234480E0,-2.840127128E-1,-5.469842201E0,5.572890011E0
1.282278333E-1,1.892144367E-1,-3.208618659E-1,-5.388671739E0,5.401531037E0
1.382068333E-1,-4.961985210E-1,-7.004572588E-1,-3.853830839E0,3.948273734E0
1.481858334E-1,-1.489172975E0,-9.510458252E-1,-2.247452765E0,2.858875346E0
1.581648333E-1,-1.645920747E0,-9.318119940E-1,-2.332162548E0,3.002717244E0
1.681438333E-1,-4.801207244E-1,-9.128073737E-1,-1.797453387E0,2.072334889E0
1.781228333E-1,-9.239568445E-1,-1.592170510E0,-4.548240908E0,4.906648402E0
1.881018333E-1,-9.077451468E-2,-7.726247638E-1,-4.651650671E0,4.716253068E0
1.980808333E-1,2.093445291E0,-4.575057408E-1,-7.722999510E0,8.014770497E0
2.080598333E-1,2.936608526E0,-1.054947047E0,-1.133577245E1,1.175739427E1
2.180388334E-1,3.420189340E0,-1.673620470E0,-1.273116837E1,1.328839150E1
2.280178333E-1,3.889940027E0,-1.997865534E0,-1.189563400E1,1.267395788E1
2.379978333E-1,3.758590806E0,-2.807900784E0,-1.041002139E1,1.141839993E1
2.479768333E-1,2.423049914E0,-3.984842384E0,-1.028443606E1,1.129246496E1
2.579558333E-1,1.084972499E0,-5.301483906E0,-8.859304715E0,1.038124159E1
2.679348333E-1,5.551884484E-1,-7.201460034E0,-7.121592330E0,1.014329030E1
2.779138333E-1,3.976036477E-1,-8.682668517E0,-5.991153052E0,1.055654944E1
2.878928334E-1,9.111037874E-1,-9.135385680E0,-5.241242967E0,1.057147149E1
2.978718333E-1,1.438272963E0,-9.100711691E0,-4.885256292E0,1.042867736E1
3.078508333E-1,1.061155035E0,-9.416284751E0,-3.468080083E0,1.009059205E1
3.178298332E-1,1.733173192E-1,-9.761670424E0,-1.871982583E0,9.941054629E0
3.278088333E-1,-1.107837451E0,-8.560716063E0,-6.814043990E-1,8.658953475E0
3.377878333E-1,-2.286721496E0,-6.912017012E0,9.737204504E-1,7.345284602E0
3.477668333E-1,-4.417855600E0,-6.559101294E0,3.841226581E0,8.791716530E0
3.577458333E-1,-6.651795450E0,-6.295784801E0,7.320415789E0,1.172483587E1
3.677248333E-1,-7.577458804E0,-5.124972253E0,9.001244706E0,1.283376908E1
3.777038333E-1,-8.095309857E0,-4.072392744E0,8.777920829E0,1.261627197E1
3.876838333E-1,-8.249099815E0,-3.585122629E0,7.845804487E0,1.193555194E1
3.976628333E-1,-8.700083864E0,-3.471697755E0,6.546365474E0,1.142799394E1
4.076418333E-1,-1.003259999E1,-2.990849637E0,5.529237633E0,1.183937131E1
4.176208333E-1,-1.125702917E1,-2.222037988E0,5.753615763E0,1.283597495E1
4.275998333E-1,-1.223250612E1,-1.153593083E0,5.560328448E0,1.348637221E1
4.375788333E-1,-1.250131666E1,-7.970427364E-2,4.606755749E0,1.332334303E1
4.475578333E-1,-1.225660367E1,3.480183819E-1,3.453022918E0,1.273847783E1
4.575368332E-1,-1.215998077E1,3.055287123E-2,2.986235014E0,1.252132842E1
4.675158333E-1,-1.231251007E1,1.763754129E-1,3.449046226E0,1.278768674E1
4.774948333E-1,-1.294090565E1,8.543343401E-1,4.320257385E0,1.366973117E1
4.874738333E-1,-1.382198750E1,2.896065686E0,3.907562658E0,1.465276700E1
4.974528333E-1,-1.324412706E1,4.549060687E0,2.465178518E0,1.421892963E1
5.074318333E-1,-1.198991684E1,3.661261563E0,1.293813261E0,1.260305101E1
5.174108333E-1,-1.046014723E1,1.423843204E0,6.268781628E-1,1.057520618E1
5.273898334E-1,-9.614122953E0,-6.281195998E-2,4.789027494E-1,9.626248145E0
5.373698333E-1,-9.394024401E0,1.574894911E-1,6.693069483E-1,9.419154377E0
