"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.674025008E-2,-1.477836101E0,5.009680948E-1,2.488101357E0,2.936940064E0
5.668125011E-2,-7.618205711E-1,1.477834055E-1,3.128975489E0,3.223770793E0
6.662225001E-2,-2.809405857E-1,-8.096639514E-3,3.476177891E0,3.487521455E0
7.656325004E-2,-1.611235356E-1,4.729461908E-2,3.479204410E0,3.483254355E0
8.650325006E-2,-3.260074157E-1,-1.573661149E-2,3.102338498E0,3.119460311E0
9.644425008E-2,-5.473800766E-1,-2.116589740E-1,2.451872594E0,2.521131430E0
1.063852500E-1,-7.040959811E-1,-3.236156121E-1,1.538600659E0,1.722721743E0
1.163262500E-1,-8.812768480E-1,-3.330214432E-1,8.149855024E-1,1.245693997E0
1.262662500E-1,-9.954805711E-1,-2.367400208E-1,3.474801457E-1,1.080634007E0
1.362072501E-1,-9.620017532E-1,3.419685602E-2,2.624335635E-1,9.977415363E-1
1.461482501E-1,-9.199728441E-1,2.668607828E-1,2.812025410E-1,9.983183763E-1
1.560892500E-1,-5.400172627E-1,3.022224042E-1,3.844585222E-1,7.285364650E-1
1.660292500E-1,3.680822253E-2,2.124308065E-1,3.754298365E-1,4.329310048E-1
1.759702500E-1,4.726941758E-1,1.995625466E-1,4.598063278E-1,6.889752194E-1
1.859112501E-1,9.863584761E-1,6.490906388E-2,6.021749192E-1,1.157467435E0
1.958522501E-1,1.506857148E0,-2.560440186E-1,4.105891442E-1,1.582643501E0
2.057922500E-1,1.765644680E0,-5.221690755E-1,3.027881223E-1,1.865969541E0
2.157332500E-1,1.909597867E0,-5.392734969E-1,5.808413529E-1,2.067548451E0
2.256742500E-1,1.998052938E0,-2.740483265E-1,1.033421692E0,2.266115271E0
2.356142501E-1,2.011146608E0,2.694316573E-1,1.426237639E0,2.480213277E0
2.455552501E-1,2.213067775E0,6.768362617E-1,1.207645914E0,2.610399386E0
2.554962500E-1,2.441341027E0,6.506800582E-1,1.586508651E0,2.983377323E0
2.654372500E-1,2.202966271E0,4.219855137E-1,1.328561656E0,2.606953824E0
2.753782501E-1,1.427500053E0,1.044739562E-1,4.782332432E-1,1.509098487E0
2.853182501E-1,5.237196109E-1,-1.545973852E-1,-4.678725618E-1,7.190878364E-1
2.952592501E-1,-2.250872509E-1,-2.406694228E-1,-1.193033722E0,1.237705742E0
3.052002500E-1,-5.308795264E-1,-1.122327729E-1,-1.410746026E0,1.511500452E0
3.151412500E-1,-2.980811868E-1,6.023772329E-2,-1.077486309E0,1.119579262E0
3.250812500E-1,5.960797817E-3,2.749395883E-1,-9.079831284E-1,9.487152733E-1
3.350222501E-1,-8.858941019E-2,3.344885096E-1,-9.714505613E-1,1.031235589E0
3.449632501E-1,-4.115007252E-1,2.077627549E-1,-5.113255602E-1,6.884417460E-1
3.549032500E-1,-5.511950925E-1,-4.252811506E-2,-4.071194065E-1,6.865645503E-1
3.648442500E-1,-8.088766238E-1,-3.153767391E-1,-7.563069391E-1,1.151409600E0
3.747852501E-1,-8.599687171E-1,-5.388808563E-2,-1.070780137E0,1.374416321E0
3.847262501E-1,-1.182427165E0,2.802088067E-1,-1.131730344E0,1.660561516E0
3.946662501E-1,-1.518568244E0,1.324049360E-1,-2.868291997E0,3.248180961E0
4.046072500E-1,-1.469402662E0,2.671138211E-1,-4.958155868E0,5.178204669E0
4.145482500E-1,-1.429511349E0,6.163962248E-1,-5.240036686E0,5.466391083E0
4.244892501E-1,-2.223428018E0,1.022801102E0,-3.749305428E0,4.477392705E0
4.344292501E-1,-2.425207536E0,1.112625297E0,-1.619536648E0,3.121292297E0
4.443702501E-1,-8.110548578E-1,3.560571340E-1,-1.425858740E0,1.678588636E0
4.543112500E-1,-1.108579097E0,4.155724338E-1,2.957012969E-1,1.220281656E0
4.642522500E-1,-1.160984110E0,2.888030443E-1,1.166697278E0,1.671069669E0
4.741922501E-1,5.646224923E-1,-1.196135670E-1,-2.018102163E-1,6.114191097E-1
4.841332501E-1,2.083983911E0,-5.339338195E-1,-2.554416384E0,3.339628322E0
4.940742501E-1,2.214904239E0,-6.429779595E-1,-4.233420385E0,4.820899252E0
5.040152500E-1,1.460180726E0,-1.979770741E-1,-4.180700135E0,4.432784259E0
5.139552500E-1,-6.538415015E-2,8.897368920E-1,-2.561483329E0,2.712398140E0
5.238962501E-1,-4.323275425E0,3.486683876E0,-1.197162441E0,5.681625891E0
5.338372501E-1,-7.651057123E0,6.412125097E0,-1.114475210E0,1.004470400E1
5.437782500E-1,-5.167124830E0,6.484710678E0,-4.587719554E-1,8.304283431E0
5.537182500E-1,2.057810605E-1,2.280104494E0,-5.347804964E-1,2.351002452E0
5.636592500E-1,1.343836045E0,7.842235932E-1,-2.468045408E-1,1.575377555E0
5.736002501E-1,9.570722580E-2,1.706157886E0,2.333389878E-1,1.724697564E0
5.835412501E-1,3.176815653E-1,1.694660506E0,-3.963827491E-3,1.724184305E0
5.934812501E-1,3.656644017E-1,1.824202645E0,2.583194625E-1,1.878338279E0
6.034222500E-1,5.958029160E-1,2.228608066E0,2.601853091E-1,2.321501975E0
6.133632500E-1,7.595442501E-1,2.243006835E0,2.605799961E-1,2.382412446E0
6.233042501E-1,6.379344437E-1,2.027349535E0,4.951533312E-1,2.182265637E0
6.332442501E-1,-5.119895115E-1,1.493093534E0,5.745620281E-1,1.679756853E0
6.431852500E-1,-1.861398538E0,8.137777600E-1,6.102598643E-1,2.121192085E0
6.531262500E-1,-1.979582461E0,1.360690936E-1,8.066631603E-1,2.141954008E0
6.630672500E-1,-1.507444940E0,-3.134591447E-1,9.387166786E-1,1.803284748E0
6.730072501E-1,-1.369766400E0,-2.166339312E-1,2.103008997E0,2.519094498E0
6.829482501E-1,-2.697469392E0,-5.723117271E-1,-3.234410727E-1,2.776417829E0
6.928892500E-1,-4.550240656E0,-2.018948401E0,-2.660734552E0,5.644497411E0
7.028302500E-1,-5.273572807E0,-2.402770016E0,-3.867698096E0,6.967277981E0
7.127702500E-1,-4.322222634E0,-2.201109780E0,-4.510730435E0,6.623683403E0
7.227112501E-1,-2.754871801E0,-2.742078677E0,-2.975263883E0,4.894947322E0
7.326522501E-1,-1.950816498E0,-4.117447879E0,-1.223705292E0,4.717681283E0
7.425932500E-1,-2.671898641E0,-5.513576451E0,-5.752186704E-1,6.153815414E0
7.525332500E-1,-3.509523393E0,-5.790260264E0,2.994891232E-1,6.777430346E0
7.624742500E-1,-5.305428438E0,-4.457568427E0,9.040099454E-1,6.988184397E0
7.724152501E-1,-5.063861248E0,-4.873943976E0,1.350940704E-1,7.029670762E0
7.823562501E-1,-3.479962209E0,-4.887710076E0,-1.243204587E0,6.127430490E0
7.922962500E-1,-2.251953952E0,-4.434675701E0,-1.352765036E0,5.154378567E0
8.022372500E-1,-9.196945167E-1,-4.418028678E0,-1.072234340E0,4.638372762E0
8.121782501E-1,-1.111555696E-3,-4.635886870E0,6.532257897E-1,4.681682629E0
8.221192501E-1,5.084481454E-1,-4.996087925E0,2.278699116E0,5.514697067E0
8.320592501E-1,5.250735337E-1,-5.813576621E0,2.814192973E0,6.480205045E0
8.420002500E-1,1.423627442E-1,-6.002893091E0,2.872778565E0,6.656414148E0
8.519412500E-1,2.399211985E-1,-5.250054721E0,1.979248877E0,5.615875966E0
8.618822501E-1,4.718176782E-1,-4.411483889E0,3.046422744E-1,4.447089941E0
8.718222501E-1,4.131630886E-1,-3.994903980E0,-5.042592001E-1,4.047744914E0
8.817632501E-1,1.167840993E-1,-3.628231811E0,-2.507666141E-1,3.638761945E0
8.917042500E-1,-2.787133813E-1,-3.306155478E0,1.999660045E-2,3.317942896E0
9.016452500E-1,-8.371634066E-1,-3.118793732E0,2.057717049E-1,3.235747040E0
9.115852501E-1,-1.661951181E0,-2.963064837E0,8.721367729E-1,3.507485924E0
9.215262501E-1,-2.591361431E0,-2.997493828E0,1.611727692E0,4.277591550E0
9.314672501E-1,-3.423229600E0,-3.369093446E0,2.207069555E0,5.285872450E0
9.414072500E-1,-3.883756889E0,-3.806272511E0,2.797775161E0,6.115457779E0
9.513482500E-1,-4.007260609E0,-3.886173836E0,3.254940886E0,6.461820551E0
9.612892501E-1,-3.587800654E0,-3.807847751E0,3.077573785E0,6.069882901E0
9.712302501E-1,-3.002352279E0,-3.435795266E0,2.577284845E0,5.240344024E0
9.811702501E-1,-2.153069349E0,-3.010134339E0,2.355826814E0,4.387087455E0
9.911112500E-1,-1.255665588E0,-2.341767184E0,1.837505060E0,3.230633755E0
1.001052250E0,-1.536408538E-1,-1.431476744E0,5.517176874E-1,1.541792330E0
1.010993250E0,1.171321841E0,-4.101853940E-1,-1.031544735E0,1.613794117E0
1.020934250E0,2.338406789E0,5.280170220E-1,-2.284497800E0,3.311476783E0
1.030874250E0,3.482245547E0,1.097918819E0,-3.284105043E0,4.910886450E0
1.040815250E0,4.682197695E0,1.466115650E0,-4.372512782E0,6.572011745E0
1.050756250E0,5.504557706E0,1.553508720E0,-5.534065679E0,7.958607153E0
1.060697250E0,6.025308393E0,1.709034716E0,-6.505290538E0,9.030168651E0
1.070637250E0,6.316868107E0,1.901168375E0,-7.549897953E0,1.002587767E1
1.080578250E0,6.705103930E0,1.843868001E0,-8.063137307E0,1.064765003E1
1.090519250E0,6.255610921E0,2.642010598E0,-1.124522481E1,1.313651282E1
1.100460250E0,6.462664336E0,5.347997922E0,-1.975911929E1,2.146601750E1
1.110400250E0,1.081071821E1,1.438544274E0,-1.755511543E1,2.066695710E1
1.120341250E0,1.296588028E1,-2.016662579E0,-1.185796623E1,1.768593629E1
1.130282250E0,1.033665871E1,-6.982171905E-1,-3.766136053E0,1.102351130E1
1.140223250E0,8.845580131E0,3.008620495E-1,1.293353816E0,8.944695071E0
1.150163250E0,9.486747792E0,-2.047285616E-2,2.410886536E0,9.788318380E0
1.160104250E0,9.686861731E0,-2.945341927E-1,-2.634305430E0,1.004298789E1
1.170045250E0,9.061113762E0,2.754290003E-1,-9.744298931E0,1.330905727E1
1.179986250E0,1.155390400E1,-4.040542960E-2,-5.692750341E0,1.288028481E1
1.189926250E0,1.347496811E1,-8.959665155E-1,5.843578684E-1,1.351735905E1
1.199867250E0,1.486982024E1,-2.073876999E0,6.190131462E-1,1.502649982E1
1.209808250E0,1.445633087E1,-1.672139955E0,-7.091748726E-1,1.456998570E1
1.219749250E0,1.407066256E1,-1.923059766E0,-5.626877949E-1,1.421261135E1
1.229689250E0,8.645048116E0,-1.642902122E0,1.764882934E0,8.975009531E0
1.239630250E0,5.688916322E0,-5.632067353E-1,4.458268046E-1,5.734085131E0
1.249571250E0,1.681375632E0,-1.142575759E0,2.414125016E0,3.156026453E0
1.259512250E0,-1.901013424E0,1.005752667E0,2.514186371E0,3.308553094E0
1.269452250E0,-1.953472888E-1,-1.858841550E-1,5.809661325E0,5.815915938E0
1.279393250E0,-6.338738447E-1,-1.469362609E0,5.409488411E0,5.641222154E0
1.289334250E0,-4.098566635E0,-3.173598515E0,9.358113141E0,1.069786229E1
1.299275250E0,-5.702031042E0,-1.750802547E0,6.153622617E0,8.570037273E0
1.309215250E0,-4.187516234E0,-1.689402105E0,2.000157058E0,4.938623284E0
1.319156250E0,-1.565238234E0,-4.054687375E0,2.679826881E0,5.106068208E0
1.329097250E0,-2.298050476E0,-4.080383549E0,2.389970461E0,5.257615876E0
1.339038250E0,-5.074165211E0,-2.722227965E0,1.694198576E0,6.002331755E0
